Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 Blade Runner 2049 , Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista,605632,Action, Drama, Mystery, $92.05M,UA
 Casino Royale , Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright,671675,Action, Adventure, Thriller, $167.45M,UA
 Zack Snyder's Justice League , Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams,413720,Action, Adventure, Fantasy,N/A,18
 Deadpool , Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein,1069804,Action, Comedy,N/A, $363.07M,R
 The Avengers , Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner,1417784,Action, Sci-Fi,N/A, $623.28M,UA
 The Incredibles , Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee,763312,Animation, Action, Adventure, $261.44M,U
 The Revenant , Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson,829060,Action, Adventure, Drama, $183.64M,A
 Akira , Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda,194048,Animation, Action, Drama, $0.55M,Not Rated
 The Bourne Ultimatum , Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles,644612,Action, Mystery, Thriller, $227.47M,UA
 Ip Man , Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam,228639,Action, Biography, Drama,N/A,R
 Kill Bill: Vol, Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah,774909,Action, Crime, Thriller, $66.21M,A
 Wolfwalkers , Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney,35303,Animation, Action, Adventure,N/A,UA
 Infernal Affairs , Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang,127775,Action, Crime, Drama, $0.17M,UA
 Baahubali: The Beginning , Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,130154,Action, Drama,N/A, $6.74M,UA
 Elite Squad , Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz,106837,Action, Crime, Drama, $0.01M,R
 Sanjuro , Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô,39500,Action, Drama, Thriller,N/A,U
 Elite Squad 2: The Enemy Within , Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz,84786,Action, Crime, Drama, $0.10M,N/A
 Haider , Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon,56131,Action, Crime, Drama, $0.90M,UA
