Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
55, Rangasthalam 1985 , Sukumar ,N/A,N/A,N/A,N/A,N/A,170 min,-2018,8.2,N/A
56, The Mountain II , Alper Caglar ,N/A,N/A,N/A,N/A,N/A,135 min,-2016,8.2,N/A
57, Paan Singh Tomar , Tigmanshu Dhulia ,N/A,N/A,N/A,N/A,N/A,135 min,-2012,8.2,N/A
58, Mad Max: Fury Road , George Miller ,N/A,N/A,N/A,N/A,N/A,120 min,-2015,8.1,90
59, The Terminator , James Cameron ,N/A,N/A,N/A,N/A,N/A,107 min,-1984,8.1,84
60, Blade Runner , Ridley Scott ,N/A,N/A,N/A,N/A,N/A,117 min,-1982,8.1,84
61, Pirates of the Caribbean: The Curse of the Black Pearl , Gore Verbinski ,N/A,N/A,N/A,N/A,N/A,143 min,-2003,8.1,63
62, Ford v Ferrari , James Mangold ,N/A,N/A,N/A,N/A,N/A,152 min,-2019,8.1,81
63, Logan , James Mangold ,N/A,N/A,N/A,N/A,N/A,137 min,-2017,8.1,77
64, Lock  Stock and Two Smoking Barrels , Guy Ritchie ,N/A,N/A,N/A,N/A,N/A,107 min,-1998,8.1,66
65, How to Train Your Dragon , Dean DeBlois, Chris Sanders ,N/A,N/A,N/A,N/A,98 min,-2010,8.1,75
66, Rush , Ron Howard ,N/A,N/A,N/A,N/A,N/A,123 min,(I) (2013),8.1,74
67, Warrior , Gavin O'Connor ,N/A,N/A,N/A,N/A,N/A,140 min,-2011,8.1,71
68, The Iron Giant , Brad Bird ,N/A,N/A,N/A,N/A,N/A,86 min,-1999,8.1,85
69, Neon Genesis Evangelion: The End of Evangelion , Hideaki Anno, Kazuya Tsurumaki ,N/A,N/A,N/A,N/A,87 min,-1997,8.1,N/A
70, Bajrangi Bhaijaan , Kabir Khan, Mehmet Tutkun ,N/A,N/A,N/A,N/A,163 min,-2015,8.1,N/A
71, The Hidden Fortress , Akira Kurosawa ,N/A,N/A,N/A,N/A,N/A,126 min,-1958,8.1,89
72, The General , Clyde Bruckman, Buster Keaton ,N/A,N/A,N/A,N/A,67 min,-1926,8.1,N/A
73, White Heat , Raoul Walsh ,N/A,N/A,N/A,N/A,N/A,114 min,-1949,8.1,N/A
74, Hera Pheri , Priyadarshan ,N/A,N/A,N/A,N/A,N/A,156 min,-2000,8.1,N/A
75, Sholay , Ramesh Sippy ,N/A,N/A,N/A,N/A,N/A,162 min,-1975,8.1,N/A
76, Thuppakki , A.R. Murugadoss ,N/A,N/A,N/A,N/A,N/A,165 min,-2012,8.1,N/A
77, Major , Sashi Kiran Tikka ,N/A,N/A,N/A,N/A,N/A,150 min,-2022,8.1,N/A
78, A Wednesday , Neeraj Pandey ,N/A,N/A,N/A,N/A,N/A,104 min,-2008,8.1,N/A
